StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,AWNA,PLNA,PLA,AWA,QTime_First Click,QTime_Last Click,QTime_Page Submit,QTime_Click Count,Age,School,Employment,HHI,Industry,Sex,per_week,time_spent,lifestyle,attention,country,statement,lose,win_work,win_invest,confirm
2019-03-15 21:07:46,2019-03-15 21:10:39,IP Address,173.94.174.30,100,172,True,2019-03-15 21:10:39,R_3KZvtcwAmn6O4m8,,,,,36.2245025634765625,-79.89009857177734375,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,41.375,41.375,43.891,1,45 - 54,Associate or Technical degree in college (2-year),Part-time employed,"$80,000 - $89,999",Service,Male,4-6 times a week,Less than 30 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,8610
2019-03-15 17:10:54,2019-03-15 17:11:02,IP Address,72.228.32.49,3,7,False,2019-03-15 21:11:07,R_306tdJnjtFBVUuB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15 21:09:29,2019-03-15 21:12:31,IP Address,73.140.16.237,100,181,True,2019-03-15 21:12:31,R_3n1lOTH7cT1YODZ,,,,,47.9004974365234375,-122.24720001220703125,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,18.565,18.565,23.65,1,45 - 54,Some college but no degree,Full-time employed,"$80,000 - $89,999",Sales and office,Female,Daily,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,5499
2019-03-15 21:17:48,2019-03-15 21:19:38,IP Address,74.67.225.17,100,109,True,2019-03-15 21:19:39,R_eh2dvVeXFXvEoZH,,,,,43.0861968994140625,-75.6508026123046875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,21.466,21.466,22.654,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999",Service,Female,Daily,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,3329
2019-03-15 21:17:33,2019-03-15 21:25:29,IP Address,157.51.223.50,100,476,True,2019-03-15 21:25:30,R_248mIX38r4mcC5o,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,14.306,14.306,16.805,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"Less than $10,000","Management, professional, and related",Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,4969
2019-03-15 17:27:11,2019-03-15 17:27:49,IP Address,67.255.242.198,3,38,False,2019-03-15 21:28:17,R_D0PzLNRmKK1bvmp,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15 21:24:39,2019-03-15 21:28:53,IP Address,112.133.248.26,100,254,True,2019-03-15 21:28:54,R_3HidzHN46KJ1eE9,,,,,11.100006103515625,77.350006103515625,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,59.278,59.278,60.806,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"Less than $10,000","Management, professional, and related",Female,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,5157
2019-03-15 21:26:58,2019-03-15 21:29:42,IP Address,157.51.198.193,100,163,True,2019-03-15 21:29:43,R_1rAMfwaeoQ1Rpsz,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",12.8,12.8,13.934,1,25 - 34,Master's degree,Part-time looking for full-time,"Less than $10,000","Management, professional, and related",Female,Daily,1 - 2 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,9126
2019-03-15 21:31:26,2019-03-15 21:36:51,IP Address,106.208.127.203,100,325,True,2019-03-15 21:36:52,R_1q9Df0XD4qXO3Fe,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,15.802,15.802,16.49,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$10,000 - $19,999",Sales and office,Female,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,,Select here to acknowledge your understanding,,3440
2019-03-15 17:36:31,2019-03-15 17:36:51,IP Address,70.181.35.220,3,19,False,2019-03-15 21:37:11,R_cx2q9IzCPZeVdsJ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15 21:35:00,2019-03-15 21:37:32,IP Address,47.28.211.200,100,152,True,2019-03-15 21:37:32,R_2tbxU4aMrOrSWfk,,,,,41.1083984375,-104.810699462890625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",44.049,44.049,45.757,1,55 - 64,"Professional degree (JD, MD)",Part-time employed,"$20,000 - $29,999","Management, professional, and related",Male,Daily,1 - 2 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,8206
2019-03-15 17:38:48,2019-03-15 17:41:15,IP Address,157.50.80.28,97,146,False,2019-03-15 21:41:15,R_3gUdUUyFLhL02Gk,,,,,,,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,4.803,6.322,7.509,2,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$10,000 - $19,999","Management, professional, and related",Male,Daily,1 - 2 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,
2019-03-15 21:42:26,2019-03-15 21:44:16,IP Address,24.246.235.192,100,109,True,2019-03-15 21:44:17,R_2OHbOQmyZ2D7T8q,,,,,41.0287017822265625,-74.6428985595703125,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,6.443,26.031,27.517,3,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$60,000 - $69,999",Sales and office,Male,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,3593
2019-03-15 21:54:34,2019-03-15 21:56:14,IP Address,24.102.129.220,100,100,True,2019-03-15 21:56:15,R_2zjp1G4NBU2aSNP,,,,,40.60260009765625,-75.4691009521484375,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,11.554,11.554,22.535,1,45 - 54,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$10,000 - $19,999",Sales and office,Female,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,8352
2019-03-15 21:59:21,2019-03-15 22:01:30,IP Address,208.107.149.53,100,128,True,2019-03-15 22:01:30,R_1jvOJ7IosuFDHRt,,,,,46.8083038330078125,-100.78369903564453125,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,19.114,19.294,26.746,2,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$50,000 - $59,999","Construction, extraction, and maintenance",Male,Daily,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,3817
2019-03-15 18:02:56,2019-03-15 18:03:12,IP Address,174.234.174.148,20,16,False,2019-03-15 22:03:18,R_3MoII5Dmh5jgtRx,,,,,,,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,1.16,1.172,1.755,2,,,,,,,,,,,,,,,,
2019-03-15 22:04:55,2019-03-15 22:06:16,IP Address,172.221.187.108,100,80,True,2019-03-15 22:06:16,R_25BzVso7QCS8N92,,,,,38.575897216796875,-90.51670074462890625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,10.536,10.536,13.325,1,25 - 34,Some college but no degree,Full-time employed,"$10,000 - $19,999",Sales and office,Male,Daily,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,6729
2019-03-15 22:13:03,2019-03-15 22:16:38,IP Address,103.93.105.95,100,214,True,2019-03-15 22:16:38,R_1q40BFewuwjf9sY,,,,,10.9499969482421875,78.08331298828125,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",5.57,40.342,41.486,3,25 - 34,Master's degree,Part-time employed,"$10,000 - $19,999","Production, transportation, and material moving",Female,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,6788
2019-03-15 19:13:19,2019-03-15 19:14:28,IP Address,171.49.196.139,93,69,False,2019-03-15 23:14:36,R_115s1uX8gd57NGx,,,,,,,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",7.585,7.585,11.205,1,45 - 54,Master's degree,Full-time employed,"$10,000 - $19,999","Management, professional, and related",Male,Daily,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,,,,
2019-03-15 19:42:13,2019-03-15 19:42:26,IP Address,103.219.206.109,3,13,False,2019-03-15 23:42:39,R_2cc1m7rD8yvqlKR,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15 20:21:02,2019-03-15 20:23:14,IP Address,68.59.144.118,20,132,False,2019-03-16 00:23:33,R_2BqRHeWUaeEDGSE,,,,,,,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,10.135,10.135,33.888,1,,,,,,,,,,,,,,,,
2019-03-15 20:39:05,2019-03-15 20:45:21,IP Address,116.68.77.61,97,376,False,2019-03-16 00:46:09,R_10Oy6hNlLr6Hp2A,,,,,,,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,34.284,34.284,35.443,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$20,000 - $29,999","Management, professional, and related",Female,Daily,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,India,,Select here to acknowledge your understanding,,,
2019-03-15 21:02:07,2019-03-15 21:10:24,IP Address,106.208.27.76,40,497,False,2019-03-16 01:10:41,R_3psC86XDFyaeX3z,,,,,,,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,79.959,79.959,80.996,1,25 - 34,Master's degree,Full-time employed,"$60,000 - $69,999","Management, professional, and related",Male,,,,,,,,,,
2019-03-15 21:14:03,2019-03-15 21:14:22,IP Address,122.174.162.159,20,18,False,2019-03-16 01:14:30,R_1E6U0SWmngXg7tB,,,,,,,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,2.533,2.533,3.798,1,,,,,,,,,,,,,,,,
2019-03-15 21:36:03,2019-03-15 21:36:59,IP Address,173.31.201.186,3,55,False,2019-03-16 01:37:32,R_3G0qJjqmsL5ujse,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18 10:40:21,2019-03-18 10:41:12,Survey Preview,,100,51,True,2019-03-18 10:41:13,R_yEdcZa3bf7L6eVX,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,8.254,8.254,11.039,1,Under 18,Master's degree,Retired,"$30,000 - $39,999","Management, professional, and related",Male,Once a week,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,First,India,874512,,,,
2019-03-18 10:41:17,2019-03-18 10:42:01,Survey Preview,,100,43,True,2019-03-18 10:42:01,R_UFOXzeRKlQ89Jnz,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,1.317,1.317,3.531,1,25 - 34,Associate or Technical degree in college (2-year),Not working and seeking employment (Unemployed),"$70,000 - $79,999",Service,Male,Once or twice a month,More than 7 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,Canada,,Select here to acknowledge your understanding,,,190860
2019-03-18 10:49:28,2019-03-18 10:50:48,IP Address,47.185.26.104,100,80,True,2019-03-18 10:50:49,R_1g1hCLKwDHl7Kke,,,,,32.932098388671875,-97.2834014892578125,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,12.225,12.225,12.842,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$70,000 - $79,999",Sales and office,Female,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,646003
2019-03-18 10:49:37,2019-03-18 10:51:10,IP Address,172.73.117.234,100,92,True,2019-03-18 10:51:10,R_OwkiigQrQ1Nk3qV,,,,,35.3119964599609375,-81.55680084228515625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,7.181,7.181,15.867,1,35 - 44,Associate or Technical degree in college (2-year),Full-time employed,"$50,000 - $59,999","Management, professional, and related",Male,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,696209
2019-03-18 10:49:47,2019-03-18 10:51:18,IP Address,136.33.51.78,100,91,True,2019-03-18 10:51:18,R_YbOsj874vDbzhDP,,,,,39.0133056640625,-94.5915985107421875,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,23.442,23.442,24.44,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999",Sales and office,Male,Daily,1 - 2 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,179988
2019-03-18 10:50:11,2019-03-18 10:51:24,IP Address,184.155.222.151,100,73,True,2019-03-18 10:51:25,R_1JPd855VPCaW2db,,,,,33.481201171875,-88.35540008544921875,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,5.986,5.986,6.759,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$80,000 - $89,999","Management, professional, and related",Female,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,166846
2019-03-18 10:50:20,2019-03-18 10:51:45,IP Address,68.227.12.219,100,84,True,2019-03-18 10:51:45,R_3md0aZj793atPDb,,,,,36.013397216796875,-115.20770263671875,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,12.206,12.206,14.825,1,45 - 54,Master's degree,Full-time employed,"$50,000 - $59,999","Management, professional, and related",Female,Daily,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,888338
2019-03-18 10:50:35,2019-03-18 10:51:48,IP Address,170.76.184.94,100,72,True,2019-03-18 10:51:48,R_2alV6U9orxULryo,,,,,30.5558013916015625,-100.63069915771484375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",13.239,13.239,16.82,1,25 - 34,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$40,000 - $49,999",Service,Male,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,782181
2019-03-18 10:49:59,2019-03-18 10:51:48,IP Address,172.58.40.254,100,108,True,2019-03-18 10:51:48,R_2xL9x0qxutkdXEV,,,,,47.3798065185546875,-122.28929901123046875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,10.937,10.937,21.59,1,35 - 44,Some college but no degree,Full-time employed,"$60,000 - $69,999","Management, professional, and related",Male,Daily,More than 7 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,123486
2019-03-18 10:50:14,2019-03-18 10:51:52,IP Address,68.188.167.211,100,98,True,2019-03-18 10:51:52,R_2chLtPmKRdd0BRY,,,,,43.0348052978515625,-83.52680206298828125,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,23.691,23.691,24.786,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999",Sales and office,Male,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,126359
2019-03-18 10:50:35,2019-03-18 10:51:58,IP Address,73.43.61.230,100,83,True,2019-03-18 10:51:59,R_1NsLB4f0SJCpYeV,,,,,33.4678955078125,-84.48059844970703125,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,0.966,2.44,3.313,2,25 - 34,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$30,000 - $39,999",Other,Male,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,Second,The United States,919339,,,,
2019-03-18 10:50:44,2019-03-18 10:52:01,IP Address,47.135.38.221,100,76,True,2019-03-18 10:52:01,R_3Da6oGSU6sQvxrb,,,,,35.575897216796875,-81.17449951171875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,17.458,17.458,18.434,1,25 - 34,Associate or Technical degree in college (2-year),Full-time employed,"$40,000 - $49,999","Production, transportation, and material moving",Male,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,557321
2019-03-18 10:50:06,2019-03-18 10:52:03,IP Address,108.185.71.126,100,117,True,2019-03-18 10:52:04,R_5arImWpiT5aXHZ7,,,,,34.055694580078125,-118.044403076171875,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,16.834,16.834,19.433,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$80,000 - $89,999","Management, professional, and related",Male,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,252332
2019-03-18 10:50:16,2019-03-18 10:52:04,IP Address,85.97.186.121,100,108,True,2019-03-18 10:52:05,R_3CN93Di0pj6OFfM,,,,,40.9886932373046875,29.0236053466796875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,22.474,22.474,27.223,1,25 - 34,Master's degree,Full-time employed,"$50,000 - $59,999","Management, professional, and related",Male,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,694160
2019-03-18 10:50:40,2019-03-18 10:52:07,IP Address,72.221.81.54,100,87,True,2019-03-18 10:52:07,R_9shgOoRY0MAwVtT,,,,,41.7689056396484375,-71.475799560546875,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,11.075,11.075,20.783,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$20,000 - $29,999","Construction, extraction, and maintenance",Male,Daily,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,881147
2019-03-18 10:49:51,2019-03-18 10:52:10,IP Address,12.159.81.5,100,139,True,2019-03-18 10:52:11,R_3Rg66ijiOUTNpSJ,,,,,43.463104248046875,-84.02970123291015625,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,7.038,7.038,8.69,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999","Management, professional, and related",Female,4-6 times a week,30 - 60 minutes,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,165512
2019-03-18 10:51:00,2019-03-18 10:52:17,IP Address,68.195.139.182,100,77,True,2019-03-18 10:52:17,R_3fE65HS32qnFeod,,,,,41.0442962646484375,-74.0980987548828125,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,1.48,13.686,15.959,6,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999",Sales and office,Male,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,,,Select here to acknowledge your understanding,758581
2019-03-18 10:50:45,2019-03-18 10:52:29,IP Address,192.81.179.4,100,104,True,2019-03-18 10:52:29,R_2tfzZ88NwgcKUqX,,,,,36.2393035888671875,-78.9019012451171875,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,12.309,14.176,22.952,2,35 - 44,High school graduate (high school diploma or equivalent including GED),Prefer not to answer,"$20,000 - $29,999",Other,Female,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,863470
2019-03-18 10:51:06,2019-03-18 10:52:31,IP Address,66.168.166.114,100,85,True,2019-03-18 10:52:32,R_ylIPFAqfa7rVxbH,,,,,34.54840087890625,-87.000396728515625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",10.881,10.881,11.895,1,45 - 54,Associate or Technical degree in college (2-year),Full-time employed,"$30,000 - $39,999",Service,Female,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,877730
2019-03-18 10:49:34,2019-03-18 10:52:33,IP Address,66.160.199.54,100,178,True,2019-03-18 10:52:33,R_3QVRPuPAM7s3Qlt,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,23.246,23.246,24.306,1,25 - 34,Master's degree,Full-time employed,"$80,000 - $89,999","Management, professional, and related",Female,Daily,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,210650
2019-03-18 10:51:35,2019-03-18 10:52:48,IP Address,45.47.95.128,100,72,True,2019-03-18 10:52:48,R_1o07AopPPVj5tUb,,,,,43.1620025634765625,-76.323699951171875,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,8.549,8.549,12.374,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$60,000 - $69,999","Management, professional, and related",Female,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,545714
2019-03-18 10:50:56,2019-03-18 10:52:53,IP Address,108.183.59.140,100,117,True,2019-03-18 10:52:53,R_1mIbpVI9youqopb,,,,,42.0453948974609375,-75.8076019287109375,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,15.584,15.584,16.768,1,55 - 64,Bachelor's degree in college (4-year),Full-time employed,"$90,000 - $99,999","Management, professional, and related",Female,2-3 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,132659
2019-03-18 10:50:42,2019-03-18 10:52:54,IP Address,184.16.216.33,100,132,True,2019-03-18 10:52:55,R_28CE6NU3RXQo05x,,,,,40.99859619140625,-85.78420257568359375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",14.353,14.353,20.789,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$100,000 - $149,999","Management, professional, and related",Female,Once a week,Less than 30 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,610980
2019-03-18 10:51:28,2019-03-18 10:52:55,IP Address,73.112.75.255,100,86,True,2019-03-18 10:52:55,R_3RlINUDHql1K1zk,,,,,40.7718048095703125,-74.20980072021484375,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,1.374,12.864,14.222,3,25 - 34,Master's degree,Full-time employed,"$60,000 - $69,999","Management, professional, and related",Male,2-3 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,178591
